Date,Open,High,Low,Close,Volume
2014-01-02,40.37,40.49,39.31,39.59,21514650
2014-01-03,40.16,40.44,39.82,40.12,15761243
2014-01-06,40.05,40.32,39.75,39.93,12472724
2014-01-07,40.08,41.2,40.08,40.92,14141112
2014-01-08,41.29,41.72,41.02,41.02,18657195
2014-01-09,41.33,41.35,40.61,40.92,12901538
2014-01-10,40.95,41.35,40.82,41.23,8735111
2014-01-13,41.16,41.22,39.8,39.99,16077579
2014-01-14,40.21,41.14,40.04,41.14,14483650
2014-01-15,41.06,41.3,40.76,41.07,9496963
2014-01-16,40.43,40.75,40.11,40.34,16369873
2014-01-17,40.12,40.44,39.47,40.01,19715653
2014-01-21,40.01,40.05,38.86,39.52,21456541
2014-01-22,39.66,40.4,39.32,40.18,13007162
2014-01-23,39.31,39.77,39.14,39.39,15415995
2014-01-24,38.67,38.98,37.62,37.91,26397474
2014-01-27,37.6,37.94,36.62,36.65,26781826
2014-01-28,36.83,38.32,36.52,38.22,40959832
2014-01-29,35.77,36.31,34.82,34.89,67251138
2014-01-30,34.89,35.81,34.45,35.31,32259716
2014-01-31,34.69,36.33,34.55,36.01,30079743
2014-02-03,35.94,36.01,34.66,34.9,22198978
2014-02-04,35.11,35.86,34.86,35.66,21083516
2014-02-05,35.6,35.94,35.0,35.49,14045078
2014-02-06,35.65,36.75,35.61,36.24,14254993
2014-02-07,36.65,37.27,36.24,37.23,16211778
2014-02-10,38.0,38.13,37.25,37.76,17649366
2014-02-11,38.15,38.86,38.09,38.5,18352744
2014-02-12,38.6,38.91,38.03,38.11,14100624
2014-02-13,37.92,38.69,37.79,38.52,12097661
2014-02-14,38.43,38.45,38.11,38.23,9987016
2014-02-18,38.31,38.59,38.09,38.3,12108044
2014-02-19,38.06,38.33,37.68,37.81,15879229
2014-02-20,37.83,38.04,37.3,37.79,11157331
2014-02-21,37.9,37.96,37.22,37.29,12374189
2014-02-24,37.23,37.71,36.82,37.42,15751470
2014-02-25,37.48,37.58,37.02,37.26,9780179
2014-02-26,37.35,38.1,37.34,37.62,15782073
